teams,value
"[4143, 5847, 4174, 111, 3928, 4646, 3061, 695]",860
"[4174, 4143, 5847, 4646, 4663, 695, 3928, 3061]",856
"[5847, 4143, 4646, 111, 4174, 3928, 3061, 695]",855
"[4143, 4646, 5847, 4174, 3928, 2530, 3061, 4663]",851
"[5847, 4143, 4646, 3928, 4174, 3061, 695, 2530]",851
"[4174, 4143, 5847, 4646, 4663, 111, 3928, 3061]",850
"[4143, 5847, 4646, 4174, 3928, 3061, 695, 2530]",850
"[4143, 4174, 5847, 111, 4663, 3928, 4646, 695]",849
"[5847, 4143, 4646, 3928, 4174, 695, 111, 3061]",840
"[5847, 4646, 4143, 3928, 4174, 111, 695, 3061]",840
"[4143, 4174, 4646, 5847, 3928, 111, 3061, 2530]",839
"[4646, 4143, 5847, 3928, 4174, 111, 2530, 3061]",835
"[5847, 4646, 4143, 4174, 111, 2220, 3928, 3061]",833
"[4143, 4174, 5847, 4646, 3061, 3928, 4663, 695]",833
"[4646, 5847, 4143, 4174, 3928, 3061, 695, 2220]",832
"[5847, 4143, 4646, 3928, 4174, 2220, 111, 3061]",827
"[4143, 5847, 4174, 111, 4646, 3928, 4663, 695]",821
"[4143, 5847, 4646, 4174, 3928, 3061, 111, 695]",820
"[4646, 5847, 4143, 4174, 3928, 2530, 3061, 695]",819
"[4143, 5847, 4646, 4174, 4663, 3928, 695, 111]",811
"[4174, 4143, 4646, 5847, 111, 3061, 4663, 3928]",808
"[4143, 4174, 5847, 4646, 3928, 111, 3061, 4663]",806
"[5847, 4143, 4174, 4646, 111, 695, 3928, 3061]",806
"[4143, 4174, 5847, 111, 3928, 4646, 4663, 695]",804
"[4646, 5847, 4143, 4174, 3928, 3061, 2530, 695]",801
"[5847, 4646, 4143, 4174, 3061, 3928, 111, 695]",800
"[5847, 4143, 4646, 3928, 4174, 2530, 3061, 695]",798
"[5847, 4143, 4174, 4646, 111, 2220, 3928, 3061]",797
"[5847, 4646, 4143, 4174, 3928, 3061, 111, 695]",797
"[4143, 4646, 5847, 4174, 111, 3928, 3061, 695]",795
"[4143, 5847, 4174, 4646, 3928, 4663, 695, 3061]",795
"[5847, 4143, 4646, 3928, 4174, 2530, 111, 3061]",794
