team,averageRank,averageRp,ranks,rps
11210,22.268,18.4255,"{13: 0.001, 14: 0.0041, 15: 0.0205, 16: 0.0589, 17: 0.0929, 18: 0.0876, 19: 0.0343, 20: 0.0086, 21: 0.0165, 22: 0.0715, 23: 0.0885, 24: 0.2871, 25: 0.1183, 26: 0.051, 27: 0.014, 28: 0.0038, 29: 0.0017, 30: 0.0037, 31: 0.0058, 32: 0.0088, 33: 0.0072, 34: 0.0046, 35: 0.0073, 36: 0.0019, 37: 0.0002, 38: 0.0002}","{23: 0.0002, 22: 0.0122, 21: 0.2554, 20: 0.0184, 19: 0.018, 18: 0.3949, 17: 0.2512, 16: 0.006, 15: 0.0055, 14: 0.0254, 13: 0.0128}"
11312,22.7296,17.9081,"{11: 0.0002, 12: 0.0007, 13: 0.0037, 14: 0.0071, 15: 0.0206, 16: 0.0281, 17: 0.0248, 18: 0.0119, 19: 0.0063, 20: 0.0134, 21: 0.0714, 22: 0.1112, 23: 0.502, 24: 0.0532, 25: 0.0273, 26: 0.0187, 27: 0.0205, 28: 0.0268, 29: 0.0285, 30: 0.0155, 31: 0.0038, 32: 0.0032, 33: 0.0009, 34: 0.0002}","{23: 0.0001, 22: 0.013, 21: 0.0799, 20: 0.0004, 19: 0.0138, 18: 0.7273, 17: 0.0514, 16: 0.0015, 15: 0.1061, 14: 0.0065}"
3723,25.2072,16.9722,"{13: 0.0001, 14: 0.0001, 15: 0.0003, 16: 0.0002, 17: 0.0004, 18: 0.0002, 19: 0.0014, 20: 0.0044, 21: 0.014, 22: 0.0697, 23: 0.1168, 24: 0.2622, 25: 0.1748, 26: 0.0379, 27: 0.0986, 28: 0.1329, 29: 0.0587, 30: 0.0223, 31: 0.0049, 32: 0.0001}","{21: 0.001, 19: 0.0015, 18: 0.6533, 16: 0.0003, 15: 0.3439}"
3055,28.3738,14.9882,"{14: 0.0001, 15: 0.0002, 16: 0.0011, 17: 0.0015, 18: 0.0045, 19: 0.0057, 20: 0.0043, 21: 0.0017, 22: 0.0029, 23: 0.016, 24: 0.0445, 25: 0.1587, 26: 0.2433, 27: 0.1214, 28: 0.0241, 29: 0.0042, 30: 0.0043, 31: 0.0283, 32: 0.0784, 33: 0.1015, 34: 0.0938, 35: 0.0486, 36: 0.0103, 37: 0.0006}","{20: 0.001, 19: 0.0173, 18: 0.0003, 17: 0.0273, 16: 0.5881, 14: 0.0024, 13: 0.3636}"
525,29.1466,15.1729,"{15: 0.0003, 16: 0.0016, 17: 0.0079, 18: 0.0152, 19: 0.0191, 20: 0.0136, 21: 0.005, 22: 0.0017, 23: 0.0036, 24: 0.0198, 25: 0.0487, 26: 0.1572, 27: 0.2311, 28: 0.1124, 29: 0.0214, 30: 0.006, 31: 0.0019, 32: 0.0048, 33: 0.018, 34: 0.0598, 35: 0.0941, 36: 0.0865, 37: 0.0482, 38: 0.0139, 39: 0.0062, 40: 0.0015, 41: 0.0005}","{21: 0.0004, 20: 0.0107, 19: 0.052, 18: 0.0006, 17: 0.0315, 16: 0.5352, 15: 0.0334, 14: 0.0046, 13: 0.3084, 12: 0.0232}"
5935,29.3334,14.8373,"{16: 0.0023, 17: 0.0067, 18: 0.0072, 19: 0.0027, 20: 0.0012, 21: 0.0034, 22: 0.016, 23: 0.0428, 24: 0.0912, 25: 0.118, 26: 0.05, 27: 0.0087, 28: 0.002, 29: 0.0201, 30: 0.1047, 31: 0.1791, 32: 0.0923, 33: 0.068, 34: 0.0919, 35: 0.0632, 36: 0.0249, 37: 0.0032, 38: 0.0003, 39: 0.0001}","{21: 0.0002, 20: 0.0175, 19: 0.0011, 18: 0.0028, 17: 0.2999, 16: 0.0299, 14: 0.4033, 13: 0.2453}"
3298,30.4829,15.1101,"{16: 0.0001, 17: 0.0003, 18: 0.0021, 19: 0.0038, 20: 0.0137, 21: 0.0103, 22: 0.0013, 23: 0.0008, 24: 0.0027, 25: 0.0107, 26: 0.0762, 27: 0.1213, 28: 0.2049, 29: 0.1645, 30: 0.0505, 31: 0.0079, 32: 0.0002, 33: 0.0002, 34: 0.032, 35: 0.069, 36: 0.0685, 37: 0.074, 38: 0.0642, 39: 0.0191, 40: 0.0015, 41: 0.0002}","{20: 0.0001, 19: 0.0316, 17: 0.001, 16: 0.6386, 13: 0.3287}"
2227,31.345,14.1579,"{16: 0.0006, 17: 0.0012, 18: 0.0007, 19: 0.0008, 20: 0.0007, 21: 0.0018, 22: 0.0073, 23: 0.0079, 24: 0.0139, 25: 0.0335, 26: 0.0383, 27: 0.0251, 28: 0.0182, 29: 0.0328, 30: 0.0963, 31: 0.2091, 32: 0.2087, 33: 0.086, 34: 0.0748, 35: 0.0698, 36: 0.0427, 37: 0.0167, 38: 0.0018, 39: 0.0001, 40: 0.0003, 41: 0.0007, 42: 0.0029, 43: 0.0031, 44: 0.0013, 45: 0.0011, 46: 0.0009, 47: 0.0005, 48: 0.0004}","{21: 0.0003, 20: 0.0028, 19: 0.0002, 18: 0.0106, 17: 0.1005, 16: 0.0122, 15: 0.0497, 14: 0.5735, 13: 0.2387, 12: 0.0003, 11: 0.0055, 10: 0.0043, 9: 0.0014}"
9543,32.0183,14.6311,"{15: 0.0001, 16: 0.0003, 17: 0.0031, 18: 0.0058, 19: 0.0053, 20: 0.0048, 21: 0.0034, 22: 0.0021, 23: 0.0056, 24: 0.0158, 25: 0.0686, 26: 0.0902, 27: 0.1028, 28: 0.0712, 29: 0.0298, 30: 0.0064, 31: 0.0048, 32: 0.0203, 33: 0.0503, 34: 0.0576, 35: 0.0285, 36: 0.0998, 37: 0.1891, 38: 0.1005, 39: 0.0284, 40: 0.0048, 41: 0.0005, 42: 0.0001}","{21: 0.0001, 20: 0.0158, 19: 0.0095, 18: 0.0004, 17: 0.1231, 16: 0.2686, 14: 0.1625, 13: 0.42}"
5576,32.2558,14.6192,"{19: 0.0008, 20: 0.0024, 21: 0.0062, 22: 0.0147, 23: 0.0323, 24: 0.0627, 25: 0.0927, 26: 0.0528, 27: 0.0089, 28: 0.0344, 29: 0.0821, 30: 0.106, 31: 0.0963, 32: 0.0536, 33: 0.0416, 34: 0.0285, 35: 0.0038, 36: 0.0013, 37: 0.0006, 38: 0.0083, 39: 0.0291, 40: 0.0553, 41: 0.0526, 42: 0.0525, 43: 0.0233, 44: 0.005, 45: 0.0018, 46: 0.003, 47: 0.0018, 48: 0.01, 49: 0.0198, 50: 0.0131, 51: 0.0027}","{20: 0.0001, 19: 0.0066, 18: 0.2449, 17: 0.0194, 16: 0.0056, 15: 0.3449, 14: 0.0977, 13: 0.0048, 12: 0.1457, 11: 0.0786, 10: 0.0076, 9: 0.0215, 8: 0.0198, 7: 0.0028}"
