team,rank,match,redScore,redStdev,redRp,redWinChance,redRpChances,blueScore,blueStdev,blueRp,blueWinChance,blueRpChances
3928,11,61,30.33,57.12,0.21,0.0036,"{0: 0.0343, 1: 0.1973, 2: 0.0, 3: 0.0002, 4: 0.0034, 5: 0.0, 6: 0.0}",66.95,124.09,0.95,0.2316,"{0: 0.0011, 1: 0.0025, 2: 0.0, 3: 0.0, 4: 0.2136, 5: 0.018, 6: 0.0}"
3928,11,62,9.68,24.77,0.01,0.0001,"{0: 0.2229, 1: 0.0122, 2: 0.0, 3: 0.0, 4: 0.0001, 5: 0.0, 6: 0.0}",71.2,134.41,0.99,0.2351,"{0: 0.0, 1: 0.0001, 2: 0.0, 3: 0.0011, 4: 0.1882, 5: 0.0458, 6: 0.0}"
3928,11,63,5.12,13.9,0.27,0.0903,"{0: 0.1449, 1: 0.0, 2: 0.0, 3: 0.0896, 4: 0.0007, 5: 0.0, 6: 0.0}",7.15,17.74,0.44,0.1449,"{0: 0.0903, 1: 0.0, 2: 0.0, 3: 0.1431, 4: 0.0018, 5: 0.0, 6: 0.0}"
3928,11,64,17.13,36.21,0.72,0.2233,"{0: 0.0119, 1: 0.0, 2: 0.0, 3: 0.1732, 4: 0.0501, 5: 0.0, 6: 0.0}",2.34,5.49,0.04,0.0119,"{0: 0.2233, 1: 0.0, 2: 0.0, 3: 0.0119, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,11,65,4.47,11.1,0.0,0.0003,"{0: 0.2347, 1: 0.0002, 2: 0.0, 3: 0.0003, 4: 0.0, 5: 0.0, 6: 0.0}",74.39,139.91,1.0,0.2349,"{0: 0.0003, 1: 0.0, 2: 0.0, 3: 0.0021, 4: 0.1722, 5: 0.0606, 6: 0.0}"
3928,11,66,47.91,93.53,0.29,0.0231,"{0: 0.0163, 1: 0.1939, 2: 0.0019, 3: 0.0002, 4: 0.0199, 5: 0.003, 6: 0.0}",86.89,166.28,1.0,0.2121,"{0: 0.0027, 1: 0.02, 2: 0.0004, 3: 0.0001, 4: 0.0857, 5: 0.1263, 6: 0.0}"
3928,11,67,63.28,123.82,0.97,0.2352,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0074, 4: 0.1943, 5: 0.0335, 6: 0.0}",10.52,20.91,0.0,0.0,"{0: 0.2339, 1: 0.0013, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}"
3928,11,68,47.97,91.91,0.93,0.2325,"{0: 0.0025, 1: 0.0002, 2: 0.0, 3: 0.0073, 4: 0.2225, 5: 0.0027, 6: 0.0}",7.55,21.8,0.01,0.0027,"{0: 0.2266, 1: 0.0059, 2: 0.0, 3: 0.0022, 4: 0.0004, 5: 0.0001, 6: 0.0}"
3928,11,69,50.62,99.76,0.89,0.2215,"{0: 0.0095, 1: 0.0042, 2: 0.0, 3: 0.005, 4: 0.207, 5: 0.0095, 6: 0.0}",19.92,39.47,0.11,0.0137,"{0: 0.1637, 1: 0.0578, 2: 0.0, 3: 0.0058, 4: 0.0078, 5: 0.0001, 6: 0.0}"
3928,11,70,3.61,11.11,0.05,0.0159,"{0: 0.2192, 1: 0.0001, 2: 0.0, 3: 0.0155, 4: 0.0004, 5: 0.0, 6: 0.0}",18.73,39.16,0.72,0.2193,"{0: 0.0158, 1: 0.0001, 2: 0.0, 3: 0.158, 4: 0.0611, 5: 0.0002, 6: 0.0}"
